Indoor Temperature,Heater State,Cost
20.0,0.25,0.16522499999999998
19.591967338331,0.25,0.33044999999999997
19.199504486474705,0.25,0.495675
18.82200240150337,0.25,0.6608999999999999
18.458875864369702,0.25,0.8261249999999999
18.109562547990176,0.5,1.156575
18.069593930971298,0.75,1.6522499999999998
18.326869402987725,0.25,1.8174749999999997
17.981546264692394,0.5,2.147925
17.945411742300564,0.75,2.6435999999999997
18.20637133099023,0.5,2.9740499999999996
18.160660007278487,0.5,3.3044999999999995
18.116345600382616,0.75,3.8001749999999994
18.369445276415483,0.25,3.9653999999999994
18.020109686393333,0.5,4.29585
17.98011966700802,0.75,4.791525
18.23737457385256,0.5,5.121975
18.188103484020704,0.25,5.2872
17.84429674888435,0.75,5.782875000000001
18.10569112182723,0.75,6.278550000000001
18.356469384139288,0.25,6.443775000000001
18.004903186939636,0.5,6.774225000000001
17.962769814848286,0.75,7.269900000000002
18.217965210332512,0.5,7.6003500000000015
18.166715170871264,0.5,7.930800000000001
18.117078705699335,0.75,8.426475000000002
18.36506450595761,0.25,8.591700000000001
18.010815079205106,0.5,8.922150000000002
17.966103437223374,0.75,9.417825000000002
18.218821416781495,0.5,9.748275000000003
18.165190870262457,0.5,10.078725000000004
18.11326701612509,0.75,10.574400000000004
18.359054903017764,0.25,10.739625000000004
18.002693538490067,0.5,11.070075000000005
17.955952571223683,0.75,11.565750000000005
18.20672060644191,0.5,11.896200000000006
18.151216391390072,0.5,12.226650000000006
18.097492160852727,0.75,12.722325000000007
18.341550096516123,0.25,12.887550000000006
17.983526451114418,0.5,13.218000000000007
17.93518822627376,0.75,13.713675000000007
18.18442148370655,0.5,14.044125000000008
18.12744252664153,0.5,14.374575000000009
18.072301241449054,0.75,14.87025000000001
18.314997553263872,0.25,15.035475000000009
17.955665546538004,0.5,15.36592500000001
17.90607013943195,1.0,16.02682500000001
18.450167200880507,0.25,16.19205000000001
18.084374267080364,0.5,16.522500000000008
18.02857066443553,0.75,17.018175000000006
18.270630566613512,0.25,17.183400000000006
17.910687044632507,0.25,17.348625000000006
17.56443223367232,0.25,17.513850000000005
17.231330673586836,0.25,17.679075000000005
16.910867849778988,0.25,17.844300000000004
16.602549373875497,0.25,18.009525000000004
16.30590019645108,0.25,18.174750000000003
16.02046385054846,0.25,18.339975000000003
15.745801724789557,0.25,18.505200000000002
15.481492364920303,0.25,18.670425
15.227130802676886,1.0,19.331325000000003
15.87054333847251,1.0,19.992225000000005
16.489569899065756,1.0,20.653125000000006
17.08516438857697,1.0,21.314025000000008
17.65824339734006,1.0,21.97492500000001
18.209687661502706,1.0,22.63582500000001
18.740343465531527,1.0,23.296725000000013
19.251023989855547,1.0,23.957625000000014
19.74251060579403,1.0,24.618525000000016
20.21555411983073,1.0,25.279425000000018
20.67087596921595,1.0,25.94032500000002
21.10916937080037,0.5,26.270775000000018
20.93895680655144,0.75,26.766450000000017
21.072256580208524,0.75,27.262125000000015
21.20112441624454,0.5,27.592575000000014
21.029661869197625,0.5,27.923025000000013
20.86568874633836,1.0,28.583925000000015
21.3010557028756,0.25,28.749150000000014
20.831959357892515,1.0,29.410050000000016
21.27021038065411,0.5,29.740500000000015
21.09995709531117,0.5,30.070950000000014
20.93714593156853,0.75,30.566625000000013
21.078339924078016,0.75,31.06230000000001
21.215575519779172,0.5,31.39275000000001
21.052935749754393,0.5,31.72320000000001
20.898222622398958,1.0,32.38410000000001
21.343269690283517,0.25,32.54932500000001
20.884257138855475,0.75,33.04500000000001
21.036908037387935,0.75,33.54067500000001
21.185152380292458,0.5,33.871125000000006
21.03309072924191,0.5,34.201575000000005
20.88854193747942,1.0,34.862475
21.343355743505022,0.25,35.0277
20.89372788555187,0.75,35.523375
21.05539637730181,0.75,36.01905
21.212305572995994,0.5,36.3495
21.068569832424636,0.5,36.67995
20.932021267208427,1.0,37.340849999999996
21.394522355598134,0.25,37.506074999999996
20.952281077237902,0.5,37.836524999999995
20.824975399185053,1.0,38.49742499999999
21.29635782150616,0.25,38.66264999999999
20.86265046669242,0.75,39.15832499999999
21.039616700612953,0.75,39.65399999999999
21.211225237996818,0.5,39.98444999999999
21.081613846215006,0.5,40.31489999999999
20.958637128836642,0.75,40.810574999999986
21.138107367056,0.75,41.306249999999984
21.312121959815254,0.25,41.471474999999984
20.88875069675583,0.75,41.96714999999998
21.075648706407602,0.75,42.46282499999998
21.25680051909515,0.25,42.62804999999998
20.839896120787934,0.75,43.12372499999998
21.0326168622423,0.75,43.61939999999998
21.2189724702767,0.5,43.94984999999998
21.103140120085108,0.5,44.280299999999976
20.993012281547163,0.75,44.775974999999974
21.184437620954405,0.5,45.10642499999997
21.073476689884227,0.5,45.43687499999997
20.968029715579764,0.75,45.93254999999997
21.163952818251918,0.5,46.26299999999997
21.057313711823113,0.75,46.75867499999997
21.250917807450527,0.25,46.92389999999997
20.844805089737836,0.75,47.419574999999966
21.046721867082262,0.75,47.915249999999965
21.240740283000605,0.25,48.080474999999964
20.835025678647217,0.75,48.57614999999996
21.03732499638449,0.75,49.07182499999996
21.23171098889563,0.5,49.40227499999996
21.122421391861973,0.5,49.73272499999996
