Indoor Temperature,Heater State,Cost
20.0,1.0,0.6608999999999999
20.480182765898846,1.0,1.3217999999999999
20.941191094186188,0.5,1.6522499999999998
20.7916314113306,1.0,2.31315
21.239674491111916,0.5,2.6435999999999997
21.077656720274685,0.5,2.9740499999999996
20.92158541566503,0.0,2.9740499999999996
20.179084351490136,0.0,2.9740499999999996
19.465236469214904,0.0,2.9740499999999996
18.778920944757125,0.25,3.1392749999999996
18.41513260640427,0.25,3.3044999999999995
18.065183376427626,0.5,3.6349499999999995
18.024603720789784,0.5,3.9653999999999994
17.98522024694372,0.75,4.461074999999999
18.243057973137176,0.5,4.791524999999999
18.19434690455928,0.5,5.121974999999999
18.147150093562345,0.5,5.452424999999999
18.101408307061227,0.5,5.782874999999999
18.057064628986325,0.5,6.113324999999999
18.014064369649102,0.5,6.443774999999999
17.972354978652927,0.75,6.939449999999999
18.227957770399843,0.5,7.269899999999999
18.177099191116287,0.5,7.600349999999999
18.127838873407534,1.0,8.261249999999999
18.672257916589903,1.0,8.922149999999998
19.19498979715929,1.0,9.583049999999998
19.696882850013253,1.0,10.243949999999998
20.178752225805226,1.0,10.904849999999998
20.64138118900979,1.0,11.565749999999998
21.085522365211606,0.5,11.896199999999999
20.91975532122572,0.75,12.391874999999999
21.056153212655936,0.5,12.722325
20.890752661014634,0.75,13.218
21.027502708739533,0.5,13.54845
20.86244053812505,0.75,14.044125000000001
20.999515730454885,0.75,14.539800000000001
21.13083779498073,0.5,14.870250000000002
20.960559967124876,0.75,15.365925000000002
21.092623522634568,0.5,15.696375000000003
20.923058180922734,0.75,16.192050000000002
21.055806352316477,0.5,16.5225
20.886898846427318,0.75,17.018175
21.020279121135747,0.5,17.348625
20.85197899262961,0.75,17.844299999999997
20.98594288599157,0.75,18.339974999999995
21.114275355966953,0.5,18.670424999999994
20.941124877276692,0.75,19.166099999999993
21.07042815119063,0.5,19.496549999999992
20.898210501583726,0.75,19.99222499999999
21.028410115185014,0.5,20.32267499999999
20.85705374322206,0.75,20.818349999999988
20.988080943942865,0.75,21.314024999999987
21.113591595633665,0.5,21.644474999999986
20.937729679484935,0.75,22.140149999999984
21.064427579009124,0.5,22.470599999999983
20.889706469221146,0.75,22.966274999999982
21.017500550280587,0.5,23.29672499999998
20.84383274278787,0.75,23.79239999999998
20.97263892420617,0.75,24.288074999999978
21.096015436017833,0.5,24.618524999999977
20.91810286095832,0.75,25.114199999999975
21.042830317022133,0.5,25.444649999999974
20.867389348894655,0.75,25.940324999999973
20.995665237703538,0.75,26.43599999999997
21.119705707768173,0.5,26.76644999999997
20.943604626414487,0.75,27.26212499999997
21.07124622359015,0.5,27.592574999999968
20.89860540436422,0.75,28.088249999999967
21.029571908887945,0.5,28.418699999999966
20.860125936891794,0.75,28.914374999999964
20.994162316077624,0.75,29.410049999999963
21.123737943906498,0.5,29.74049999999996
20.952955502021013,0.75,30.23617499999996
21.085707689896633,0.5,30.56662499999996
20.9179775508284,0.75,31.062299999999958
21.053662644851272,0.5,31.392749999999957
20.888750685689683,0.75,31.888424999999955
21.027143721115202,0.5,32.218874999999954
20.86483377704246,0.75,32.71454999999995
21.00572704475364,0.75,33.21022499999995
21.141891340781928,0.5,33.54067499999995
20.977439838721622,0.75,34.03634999999995
21.11705765788806,0.5,34.36679999999995
20.95670692609565,0.75,34.86247499999995
21.100265106047782,0.5,35.192924999999946
20.943700600282956,0.75,35.688599999999944
21.090896900780802,0.5,36.01904999999994
20.937828203509365,0.75,36.51472499999994
21.088383567256745,0.5,36.84517499999994
20.938542537043073,0.75,37.34084999999994
21.092199311470115,0.5,37.67129999999994
20.945338374318016,0.75,38.16697499999994
21.101858669759512,0.5,38.497424999999936
20.957749241513607,0.75,38.993099999999934
21.116913415321157,0.5,39.32354999999993
20.97534444507587,0.75,39.81922499999993
21.136949702004248,0.5,40.14967499999993
20.99772632723872,0.5,40.48012499999993
20.865513617998456,1.0,41.14102499999993
21.332180957054238,0.25,41.30624999999993
20.893942958486708,0.5,41.63669999999993
20.770483964270998,1.0,42.297599999999925
21.245562600024368,0.5,42.628049999999924
21.11147868336535,0.5,42.95849999999992
20.98420439248545,0.75,43.45417499999992
21.15954516502084,0.5,43.78462499999992
21.033520014865196,0.5,44.11507499999992
20.91398925640397,0.75,44.61074999999992
21.096770658258244,0.5,44.94119999999992
20.977895082956515,0.75,45.436874999999915
21.161306039226297,0.5,45.767324999999914
21.043035392113485,0.5,46.09777499999991
20.93056463530785,0.75,46.59344999999991
21.11973870418224,0.5,46.92389999999991
21.006614565337394,0.5,47.25434999999991
20.899089001273015,0.75,47.75002499999991
21.09301482220431,0.5,48.08047499999991
20.98445656153483,0.5,48.41092499999991
20.881318272577115,1.0,49.071824999999905
21.375531561136718,0.25,49.237049999999904
20.96337083035588,0.5,49.5674999999999
20.864577872507702,1.0,50.2283999999999
21.361793008777546,0.25,50.3936249999999
20.95134319523365,0.5,50.7240749999999
20.85302072136677,1.0,51.3849749999999
21.350687937735987,0.25,51.5501999999999
20.940672520312624,0.5,51.880649999999896
20.842767450330133,1.0,52.541549999999894
21.340835743031448,0.25,52.706774999999894
20.931205713071375,0.5,53.03722499999989
20.833670955383514,1.0,53.69812499999989
21.33209507490489,0.25,53.86334999999989
