Indoor Temperature,Outdoor Temperature,Target Temperature,Heater State,Cost
20.0,-2.0,18.0,0.0,0.0
19.139427868950985,-2.0,18.0,0.0,0.0
18.312518664844617,-2.0,18.0,0.0,0.0
17.517955597827427,-2.0,18.0,0.0,0.0
16.754473386802776,-2.0,18.0,0.0,0.0
16.02085624456719,-2.0,18.0,0.0,0.0
15.31593594176196,-2.0,18.0,0.0,0.0
15.822877183314077,-2.0,18.0,1.0,0.6608999999999999
16.30998844738623,-2.0,18.0,1.0,1.3217999999999999
16.778045421522908,-2.0,18.0,1.0,1.9827
17.227793450764803,-2.0,18.0,1.0,2.6435999999999997
17.65994872455398,-2.02,18.0,1.0,3.3044999999999995
18.074417078909985,-2.04,18.0,1.0,3.9653999999999994
18.471890371557738,-2.06,18.0,1.0,4.6263
18.853033396882314,-2.08,18.0,1.0,5.2871999999999995
19.2184849445633,-2.1,18.0,1.0,5.948099999999999
19.56885881679865,-2.12,18.0,1.0,6.608999999999999
19.904744805737888,-2.14,18.0,1.0,7.269899999999999
20.22670963268113,-2.16,18.0,1.0,7.930799999999999
19.351010613782407,-2.18,18.0,0.0,7.930799999999999
18.50878390071233,-2.2,18.0,0.0,7.930799999999999
17.69872016012735,-2.21,18.0,0.0,7.930799999999999
16.919952444915566,-2.22,18.0,0.0,7.930799999999999
16.17125655111112,-2.23,18.0,0.0,7.930799999999999
15.451456161830698,-2.24,18.0,0.0,7.930799999999999
15.9437082108357,-2.25,18.0,1.0,8.5917
16.416313709107246,-2.26,18.0,1.0,9.2526
16.87004116910136,-2.27,18.0,1.0,9.913499999999999
17.305629041437605,-2.28,18.0,1.0,10.574399999999999
17.723786890825398,-2.29,18.0,1.0,11.235299999999999
18.12519652599169,-2.3,18.0,1.0,11.896199999999999
18.510513085409382,-2.3,18.0,1.0,12.557099999999998
18.88075724970587,-2.3,18.0,1.0,13.217999999999998
19.23651860448067,-2.3,18.0,1.0,13.878899999999998
19.578363672563494,-2.3,18.0,1.0,14.539799999999998
19.906836816158656,-2.3,18.0,1.0,15.200699999999998
20.222461103700358,-2.3,18.0,1.0,15.861599999999997
19.341451906042177,-2.3,18.0,0.0,15.861599999999997
18.49490507032502,-2.3,18.0,0.0,15.861599999999997
17.681472535264497,-2.3,18.0,0.0,15.861599999999997
16.899858971574957,-2.3,18.0,0.0,15.861599999999997
16.148819719256377,-2.3,18.0,0.0,15.861599999999997
15.427158805568215,-2.3,18.0,0.0,15.861599999999997
15.918014277291157,-2.3,18.0,1.0,16.522499999999997
16.38966899722602,-2.3,18.0,1.0,17.1834
16.842874039549354,-2.3,18.0,1.0,17.8443
17.278351098732944,-2.3,18.0,1.0,18.505200000000002
17.696793638787238,-2.3,18.0,1.0,19.166100000000004
18.09886799754989,-2.3,18.0,1.0,19.827000000000005
18.48521444777797,-2.3,18.0,1.0,20.487900000000007
18.856448216733508,-2.3,18.0,1.0,21.14880000000001
19.21316046588598,-2.3099999999999996,18.3,1.0,21.80970000000001
19.55552806314141,-2.32,18.6,1.0,22.47060000000001
19.884112127029443,-2.33,18.9,1.0,23.131500000000013
20.199451826853867,-2.34,19.2,1.0,23.792400000000015
20.502065241278622,-2.3499999999999996,19.5,1.0,24.453300000000016
20.79245018332856,-2.36,19.8,1.0,25.114200000000018
21.071084993118728,-2.37,20.1,1.0,25.77510000000002
21.33842929957453,-2.38,20.4,1.0,26.43600000000002
21.594924752355737,-2.3899999999999997,20.7,1.0,27.096900000000023
21.84099572514991,-2.4,21.0,1.0,27.757800000000024
22.077049991455116,-2.4,21.0,1.0,28.418700000000026
22.30387054307862,-2.4,21.0,1.0,29.079600000000028
22.5218185744532,-2.4,21.0,1.0,29.74050000000003
22.731241151199686,-2.4,21.0,1.0,30.40140000000003
22.932471762802518,-2.4,21.0,1.0,31.062300000000032
23.125830853666287,-2.4,21.0,1.0,31.723200000000034
22.12733909664191,-2.4,21.0,0.0,31.723200000000034
21.16790525685287,-2.4,21.0,0.0,31.723200000000034
20.246001509068726,-2.4,21.0,0.0,31.723200000000034
19.360159791868796,-2.4,21.0,0.0,31.723200000000034
18.50896946986627,-2.3899999999999997,21.0,0.0,31.723200000000034
18.87575349328653,-2.38,21.0,1.0,32.38410000000003
19.22858122637229,-2.37,21.0,1.0,33.04500000000003
19.567998596146946,-2.36,21.0,1.0,33.70590000000003
19.894530174652896,-2.3499999999999996,21.0,1.0,34.366800000000026
20.20868001429252,-2.34,21.0,1.0,35.027700000000024
20.510932450493193,-2.33,21.0,1.0,35.68860000000002
20.801752872974525,-2.32,21.0,1.0,36.34950000000002
21.081588466846004,-2.3099999999999996,21.0,1.0,37.01040000000002
21.35086892471517,-2.3,21.0,1.0,37.671300000000016
21.610007130940343,-2.26,21.0,1.0,38.332200000000014
21.860573326568904,-2.2199999999999998,21.0,1.0,38.99310000000001
22.10290282221115,-2.1799999999999997,21.0,1.0,39.65400000000001
22.337317812160716,-2.1399999999999997,21.0,1.0,40.31490000000001
22.56412788746443,-2.0999999999999996,21.0,1.0,40.97580000000001
22.783630528922437,-2.06,21.0,1.0,41.636700000000005
22.996111580803696,-2.02,21.0,1.0,42.2976
23.201845706031182,-1.98,21.0,1.0,42.9585
22.216809586804512,-1.94,21.0,0.0,42.9585
21.27186971837444,-1.9,21.0,0.0,42.9585
20.36545765910482,-1.8299999999999998,21.0,0.0,42.9585
19.497239827409185,-1.76,21.0,0.0,42.9585
18.665722182932207,-1.69,21.0,0.0,42.9585
19.053756364325352,-1.6199999999999999,21.0,1.0,43.6194
19.429350029662682,-1.5499999999999998,21.0,1.0,44.2803
19.792989813553902,-1.48,21.0,1.0,44.941199999999995
20.145143314964027,-1.41,21.0,1.0,45.60209999999999
20.48625984182909,-1.3399999999999999,21.0,1.0,46.26299999999999
20.816771126544747,-1.27,21.0,1.0,46.92389999999999
21.13709201346722,-1.2,21.0,1.0,47.58479999999999
21.447621119521287,-1.22,21.0,1.0,48.245699999999985
21.74522094661305,-1.24,21.0,1.0,48.90659999999998
22.030397248249304,-1.26,21.0,1.0,49.56749999999998
22.30363599441989,-1.28,21.0,1.0,50.22839999999998
22.565404145467827,-1.2999999999999998,21.0,1.0,50.88929999999998
22.816150395688084,-1.3199999999999998,21.0,1.0,51.550199999999975
23.056305887838995,-1.3399999999999999,21.0,1.0,52.21109999999997
22.101997662947124,-1.3599999999999999,21.0,0.0,52.21109999999997
21.1842366935167,-1.38,21.0,0.0,52.21109999999997
20.301593363660608,-1.4,21.0,0.0,52.21109999999997
19.452693979654946,-1.42,21.0,0.0,52.21109999999997
18.636218582436513,-1.44,21.0,0.0,52.21109999999997
19.03518608242577,-1.46,21.0,1.0,52.87199999999997
19.417764866310208,-1.48,21.0,1.0,53.53289999999997
